ts,ad_id,model_key,price,median,score,profit
2026-09-02T11:19:31+00:00,3501559366,ps5_digital,250,479,0.812,181
2026-09-02T11:19:32+00:00,3501553645,ps5_disc,300,450,0.593,105
2026-09-02T11:19:36+00:00,3501563258,switch,120,200,0.71,60
2026-09-02T11:19:37+00:00,3501541519,switch2,210,380,0.672,132
2026-09-02T11:19:58+00:00,3501541235,switch2,249,380,0.628,93
2026-09-02T11:37:43+00:00,3501581818,ps5_digital,350,480,0.502,82
2026-09-02T11:38:05+00:00,3501585195,ps5_disc,350,450,0.479,55
2026-09-02T11:38:11+00:00,3501581691,switch,140,200,0.59,40
2026-09-02T11:38:12+00:00,3501584747,switch_oled,210,280,0.515,42
2026-09-02T12:05:28+00:00,3501612716,ps5_disc,250,435,0.703,141
2026-09-02T12:05:30+00:00,3501604284,ps5_digital,350,479,0.62,81
2026-09-02T12:05:32+00:00,3501603811,ps5_disc,300,435,0.563,91
2026-09-02T12:05:40+00:00,3501610943,xbox_series_x,325,500,0.695,125
2026-09-02T12:05:41+00:00,3501594681,xbox_series_s,160,230,0.586,47
2026-09-02T12:47:58+00:00,3501631831,switch,100,200,0.84,80
2026-09-02T12:48:02+00:00,3501645457,switch,99,200,0.8,81
2026-09-02T12:48:06+00:00,3501612001,switch_oled,160,235,0.655,51
2026-09-02T12:48:09+00:00,3501624367,switch_oled,160,235,0.605,51
2026-09-02T12:48:11+00:00,3501631124,switch,140,200,0.58,40
2026-09-02T12:48:15+00:00,3501624369,switch,130,200,0.555,50
2026-09-02T12:48:18+00:00,3501623332,switch_oled,170,235,0.49,41
2026-09-02T12:48:26+00:00,3501644824,xbox_series_x,275,499,0.774,174
2026-09-02T12:48:30+00:00,3501621264,xbox_series_x,299,499,0.701,150
2026-09-02T12:51:43+00:00,3501655803,ps5_disc,300,432,0.557,88
2026-09-02T12:51:54+00:00,3501654648,xbox_series_s,180,255,0.532,49
2026-09-02T13:08:38+00:00,3501657639,ps5_pro,500,859,0.733,273
2026-09-02T13:08:40+00:00,3501659292,ps5_pro,510,859,0.718,263
2026-09-02T13:08:41+00:00,3501660065,ps5_pro,520,859,0.703,253
2026-09-02T13:08:47+00:00,3501668337,switch,85,195,0.8,90
2026-09-02T13:08:48+00:00,3501658637,switch,110,195,0.727,65
2026-09-02T13:08:50+00:00,3501666492,switch_oled,145,215,0.583,48
2026-09-02T13:08:55+00:00,3501667558,xbox_series_x,290,499,0.704,159
2026-09-02T13:08:57+00:00,3501659405,xbox_series_x,350,499,0.618,99
2026-09-02T13:09:22+00:00,3501674220,steamdeck_oled,290,635,0.81,281
2026-09-02T13:09:24+00:00,3501669514,steamdeck_oled,420,635,0.63,151
2026-09-02T13:27:08+00:00,3501682050,switch,145,210,0.592,44
2026-09-02T13:44:53+00:00,3501709588,ps5_pro,480,1199,0.81,599
2026-09-02T13:44:54+00:00,3501700602,ps5_disc,290,450,0.622,115
2026-09-02T13:44:58+00:00,3501671326,switch_oled,170,250,0.556,55
2026-09-02T13:45:15+00:00,3501699405,switch,140,200,0.54,40
2026-09-02T13:48:22+00:00,3501709559,ps5_disc,350,475,0.542,77
2026-09-02T14:38:59+00:00,3501752931,ps5_disc,170,470,0.88,253
2026-09-02T14:39:22+00:00,3501754158,ps5_pro,850,1199,0.568,229
2026-09-02T14:39:33+00:00,3501754857,switch,140,210,0.593,49
2026-09-02T14:39:43+00:00,3501733869,xbox_series_s,100,240,0.83,116
2026-09-02T14:39:48+00:00,3501744292,xbox_series_x,300,500,0.68,150
2026-09-02T14:39:52+00:00,3501718645,xbox_series_x,300,500,0.62,150
2026-09-02T14:40:01+00:00,3501750715,steamdeck_oled,290,635,0.81,281
2026-09-02T14:42:42+00:00,3501759100,ps5_disc,150,390,0.84,201
2026-09-02T15:10:06+00:00,3501794002,ps5_disc,300,424,0.57,81
2026-09-02T15:10:07+00:00,3501790965,ps5_disc,320,424,0.509,61
2026-09-02T15:10:35+00:00,3501780674,switch,110,175,0.633,47
2026-09-02T15:10:46+00:00,3501778648,xbox_series_s,111,240,0.77,105
2026-09-02T15:10:47+00:00,3501785817,xbox_series_s,140,240,0.502,76
2026-09-02T19:27:45+00:00,3501875113,xbox_series_x,280,425,0.544,102
2026-09-02T19:27:55+00:00,3501995034,steamdeck_oled,360,577,0.649,159
2026-09-02T20:17:39+00:00,3502036868,ps5_slim,300,466,0.713,119
2026-09-02T20:19:24+00:00,3501845088,ps5_pro,500,679,0.453,111
2026-09-02T20:21:10+00:00,3502054159,ps5_pro,420,679,0.746,191
2026-09-03T06:39:36+00:00,3502143980,ps5_pro,410,679,0.675,201
2026-09-03T06:39:45+00:00,3502120517,switch2,250,399,0.695,109
2026-09-03T06:39:59+00:00,3502131531,steamdeck_oled,350,577,0.641,169
2026-09-03T06:40:01+00:00,3502122191,steamdeck_oled,360,577,0.589,159
2026-09-03T10:15:08+00:00,3502259058,ps5_disc,250,450,0.738,155
2026-09-03T10:15:19+00:00,3502298837,xbox_series_x,270,425,0.634,112
2026-09-03T10:58:40+00:00,3502373388,ps5_slim,250,466,0.763,169
2026-09-03T09:20:05+00:00,3502248398,ps5_pro,499,679,0.535,112
2026-09-03T11:03:11+00:00,3502375721,steamdeck_oled,300,577,0.814,219
2026-09-03T11:08:18+00:00,3502380854,ps5_disc,200,450,0.84,205
2026-09-03T11:44:40+00:00,3502412699,ps5_pro,450,679,0.628,161
2026-09-03T11:44:40+00:00,3502412130,ps5_pro,450,679,0.628,161
2026-09-03T19:34:51+00:00,3502827115,ps5_slim,280,466,0.819,139
2026-09-03T19:35:07+00:00,3502484049,steamdeck_oled,250,577,0.72,269
2026-09-03T19:35:08+00:00,3502582007,steamdeck_oled,350,577,0.581,169
2026-09-05T13:28:39+00:00,3504245006,ps5_pro,499,679,0.595,112
2026-09-05T13:28:59+00:00,3503575918,steamdeck_oled,360,577,0.529,159
2026-09-05T13:35:21+00:00,3504275757,ps5_disc,300,450,0.593,105
2026-09-05T13:55:00+00:00,3504301525,switch_oled,100,250,0.84,125
2026-09-05T14:01:40+00:00,3504310725,xbox_series_x,265,425,0.679,117
2026-09-05T14:04:58+00:00,3504308760,xbox_series_x,200,425,0.84,182
2026-09-05T17:06:07+00:00,3504519120,xbox_series_x,275,425,0.709,107
2026-09-05T17:22:39+00:00,3504531826,ps5_slim,300,460,0.672,114
